시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740832,건축)대합실화장실-광명사거리_지하2층,7호선,2750,광명사거리,748,20210527,,외부,지하,"4,5","대합실 2층 연결통로 (가)아이센터,(나)아이센터 중간","일반(남,여) / 교통약자(남,여)",B2,Y
1821297,건축)대합실화장실-논현 B1,7호선,2734,논현,732,20241127,,외부,지하,"7,8","대합실 B1층 7,8번 출입구 근처","일반(남,여) / 교통약자(남,여)",B1,N
1740833,건축)대합실화장실-천왕_지하1층,7호선,2751,천왕,749,20210527,,외부,지하,2,대합실 1층 2번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740835,건축)대합실화장실-온수(7)_지하1층,7호선,2752,온수,750,20210527,,외부,지하,4,대합실 1층 4번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1821299,건축)대합실화장실-청담 B3,7호선,2731,청담,729,20241127,,외부,지하,"3,12",B3 대합실 (나)아이센터 옆,"일반(남,여) / 교통약자(남,여)",B3,Y
1806475,건축)대합실화장실-논현 장애인화장실,7호선,2734,논현,732,20240701,,외부,지하,"7,8",대합실 2층 메트로의원 상가 뒤편,"일반(남,여) / 교통약자(남,여)",B2,Y
1821300,건축)대합실화장실-학동 B2,7호선,2733,학동,731,20241127,,외부,지하,"1,2","B2 1,2번 출입구 계단 옆","일반(남,여) / 교통약자(남,여)",B3,Y
1740787,건축)대합실화장실-장암_지상1층,7호선,2711,장암,709,20210527,,외부,지상,1,1층개집표기 옆,"일반(남,여) / 교통약자(남,여)",1,Y
1740788,건축)대합실화장실-도봉산(7)_지상1층(환승통로),7호선,2712,도봉산,710,20210527,,외부,지상,1-1,지상1층 대합실 앞,"일반(남,여) / 교통약자(남,여)",1,Y
1740789,건축)대합실화장실-도봉산(7)_지상1층(대합실),7호선,2712,도봉산,710,20210527,,내부,지상,2,지상1층 환승통로,"일반(남,여) / 교통약자(남,여)",1,Y
1740790,건축)대합실화장실-수락산_지하2층,7호선,2713,수락산,711,20210527,,외부,지하,"2,5",대합실 지하2층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740791,건축)대합실화장실-마들_지하2층,7호선,2714,마들,712,20210527,,외부,지하,"4,5",대합실 B2 에스컬레이터 앞,"일반(남,여) / 교통약자(남,여)",B2,N
