,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
410,2024-01-30 14:00:00,4호선,동대문역사문화공원(DDP),2일권,0,2
411,2024-01-30 14:00:00,5호선,여의도,2일권,2,0
412,2024-01-30 14:00:00,5호선,여의나루,2일권,2,0
413,2024-01-30 15:00:00,2호선,을지로입구,2일권,0,2
414,2024-01-30 15:00:00,2호선,을지로입구,3일권,0,3
415,2024-01-30 15:00:00,2호선,뚝섬,2일권,0,2
416,2024-01-30 18:00:00,2호선,을지로입구,2일권,2,0
417,2024-01-30 18:00:00,2호선,을지로입구,3일권,3,0
418,2024-01-30 19:00:00,2호선,홍대입구,2일권,0,2
419,2024-01-30 19:00:00,2호선,홍대입구,3일권,0,3
420,2024-01-30 20:00:00,2호선,을지로입구,3일권,1,4
421,2024-01-30 20:00:00,2호선,홍대입구,3일권,3,0
422,2024-01-30 21:00:00,4호선,명동,2일권,2,0
423,2024-01-30 21:00:00,4호선,신용산,2일권,0,2
